author,headline,text,reactions,replies,code.1,code.2,code.3,sentiment,author.sme,original.order,flag
Kuldeep Singh,Head of XR Practice | Technology Director | Engineering Leader | thinkuldeep.com,"Yes, one can improve things when it is measured.. now even digital products started measuring #greencloud #greensoftware Razin Memon (He/Him/His)",2,0,,,,,,299,
Arthur Rottier,Founder | Designer bij Studio Rottier,It should then also include the price in money. Money that needs to be earned with carbon footprint enlarging activities.,1,0,,,,,,300,
Pramod Akulu,Group Manager at Philips,What will I do with this info? As long as it is on the box it is fine during point of sale then its good enough right??!,2,0,,,,,,301,
Selmane KABBEJ,Sales manager,"Je crois que câest pile ce que sait faire Kabaun nâhÃ©sitez pas Ã contacter Nicolas SOUM pour en savoir plus !
See translation See translation of this comment",1,0,,,,,,302,
Aditya Gurudanti,ESG & Sustainability Specialist,"Would really love to have insights on the methodology. Kudos to adidas & Allbirds for this initiative, and even better if they managed to get a good chunk of Tier 1 Data for their LCA/product carbon footprinting. ð",1,0,,,,,,303,
Fetch.Travel,NA,"Similar to children learning the value of money or learning to tell the time, we all have to learn the relative value of CO2 metrics for our activities. I am afraid, this works only when having a CO2 Budget also similar to our monthly money budget or to the limited 24h/day.",0,0,,,,,,304,
Srikumar Sadasivam,Automotive R&D | Powertrain & e-Drive CAE | Automated Driving (ADAS) | Cooling Systems | NVH | Engine & Emission Control Electronics | Embedded Software,Looks like the day is not too far for every one to have a personal carbon score.,4,0,,,,,,305,
Bird Lovegod,Humanitarian interventions as a service.,"Carbon isnât the problem, itâs just one of the symptoms of the dysfunctional human condition. And buying a pair of sneakers with the carbon footprint printed on a label is a pseudo solution at best.",1,0,,,,,,306,
Delia HolzhÃ¤user,Founder of MÃ¼nchner Verein fÃ¼r Ecuadorhilfe e.V. | Enthusiast for Corporate Sustainability,"Itâs a start. I wouldnât mind, if also the wage of the person who put the lashes on the shoes was printed in. Or in the shoe box. Environmental data is 1/3 of sustainabilityâ¦",1,0,,,,,,307,
Henry Coutinho-Mason,"ð¡ Content, PlasticFree.com âð¼ The Future Normal ð± Cofounder 3Space & Redo ð® Trend watcher","Just as long as itâs accurate, as H&M are finding out in Norway ð",8,0,,,,,,308,
Bernardo Reinoso D'Onofrio,"Rewilding, Regreening and Reducing our Carbon Footprint, we can do better! Iâm a Green Marketing Advocate.","This should be done by an independent entity, and also I would add colours to the total. For example: Red if itâs above the industry, Yellow for average and Green if its below.",1,0,,,,,,309,
Yely Kopan,Blockchain and Cryptocurrency,Wow finally,1,0,,,,,,310,
Daniel Mayhew,Providing scientific innovation and solutions at Cambridge design partnership,"Fascinating idea, and I fully support it being pushed out to a broader range of products and services. For the end-of-life figure, is this the figure for a product that has gone through full use or the fast fashion use life? Also, they should label how much they are (or are not) following the other UN sustainability goals. â¦see more",0,0,,,,,,311,
Nathalie Weber,"Student, Nutrition and food supply management.",ððð,0,0,,,,,,312,
Stefanie Ahlstrom,I Design Technical Apparel for Outdoor Brands that want to make a Difference.,Brave! How differently we would treat products if we had this more often.,1,0,,,,,,313,
Kelvin Adjei-Akosah,"Design, Filmmaking, Consulting, Arts, Creative",This is great to see!,0,0,,,,,,314,
Denise Salles,Sr. Technical Writer,Marketing.,0,0,,,,,,315,
Diana Beckers,Tutor. Analyst. Volunteer Researcher at GGz Centraal.,I'm not sure everyone will understand what these numbers mean. It's a place to start. The comments are interesting to read.,0,0,,,,,,316,
Gabriel DÂ´Angelo,Social media Strategist | ComunicaciÃ³n Digital | Marketing Digital,"As consumers, how do we know that the numbers are not fake?",1,0,,,,,,317,
John Ingram,He who dares Rodders,Boring hell,2,1,,,,,,318,
Daniel Graff,"Associate Professor in Design Innovation, College of Design & Innovation, Tongji University","While I think such information should be added to all products in the future, they need to be more meaningful for the customers. No idea if these numbers are positive, negative, or in-between.",3,0,,,,,,319,
Gerard van de Looi,Enjoying life,"If you think this is a solution, you are part of the problem.",4,0,,,,,,320,
Bert Buytaert,Senior Designer / Art Director / Project Manager (architectuur- interieur- meubel- event- service- concept- â¦ ),"https://project.veja-store.com/en
Projet | VEJA
Projet | VEJA project.veja-store.com",1,0,,,,,,321,
Pim Piepers,Writes,"No, it should not. It's fantasy.",3,0,,,,,,322,
Merve GÃ¼rel Keck,Digital Marketing and Social Media Intern,"Can't agree more. I think, every product should also include that their producers/workers get fair wages (to write this, brands make it happen first, which is another issue)",0,0,,,,,,323,
Frederik Heinzel,Student @ Karlsruher Institut fÃ¼r Technologie (KIT),Can Rafael SavastÃ¼rk,1,0,,,,,,324,
Martijn van Praagh,Senior Advisor RnD+QM Ensucon/Associate Professor Lund University,"Certainly a good (albeit late) start to raise awareness, but how can consumers relate to the numbers? Is that a lot? What is the bench mark? Also, âuseâ=0, that probably means any resoling or maintenance is not accounted for, i.e. not possible?!",0,0,,,,,,325,
Anatoli - Energy Waste Buster - Naoumov,Helping manufacturers profit through energy management,"white fabric shoes are an environmental crime, as they will become to dirty to wear in no time. regardless of labeling.Issue is not carbon in a single shoe, issue is carbon in being shoed through a year.",1,0,,,,,,326,
Barbara Pollini,Sustainable Designer & Researcher,"The data seems to follow the LCA phases, however missing the first and very impacting \materials\"". A part from this I like the comunication tool :)""",1,0,,,,,,327,
"David Eckert, EMBA",Analyst /Project Leader/ sustainability / Geophysics,Yes we have something similar on cigarettes packs. What really impacted the consumer behavior was a higher price not to know the consequences of buying the product,2,0,,,,,,328,
Bob Miller,Mediator/Deacon,In an era of curiosity as to oneâs impact on the environment wouldnât it be awesome to have this type of information available for more products and services . . .,0,0,,,,,,329,
Theodoros Doukoulos,Curious exploration for anything IT related. Let's make technology more human.,It is not possible to do so on a static imprint. The everchanging world has different demands and for sure different costs. So this add is highly misleading.,1,0,,,,,,330,
Lise Colyer,"Comms Specialist, Editorial Director, Founder, Chair, Spokesperson","Child and forced labour, water scarcity, biodiversity loss, chemical pollution, are among the âsustainabilityâ indicators missing from this label",9,0,,,,,,331,
Ana Sofia Pinho,Founder of 3101 & Humankind Works (news soon!) // Previously at Flux Academy & Feedzai // Neurology in Equity and Inclusion Licensed Trainer,"Isto (isto.pt), a Portuguese brand has been doing this for years. You might want to check them out. ð",10,0,,,,,,332,
Jason Pyros,American Automotive Service & Institute,Those all birds are going to take the sneaker/business community by storm ! I canât find a pair in my size at the moment ! #adidas,0,0,,,,,,333,
Robert Godfrey,Commercial Manager Geo Concrete Products,And how many people in the supermarket actually read salt content etc exactly. Yes I look at the colours and avoid red for my health but this I would need training on,1,0,,,,,,334,
Roxane Panopoulos,Data & Analytics | Marketing Effectiveness | Tech | Sales leadership | Product,Martina Minarik,1,1,,,,,,335,
Kirsten McLoud,Digitalizing and Decarbonizing Seaborne Supply Chains,Sustie Gabriella Bossman Helland,1,1,,,,,,336,
Amit Ojha,Purchasing Manager at Bosch,Awareness on how to measure CO2 emission in different stage of product manufacturing is required...any one who can post this information as well?,0,0,,,,,,337,
Taymaa Abu Ayyash,Climate and Gender Advocate | Sustainability Scholar | Volunteer | AgriTech Engineer,"Hebatallah Al-Nsour ØªØªØ°ÙØ±Ù ÙØ§Ù Ø§ÙØ§Ø¬Ø§Ø¨Ø© Ø¹ CO2eq
See translation See translation of this comment",0,1,,,,,,338,
Sebastien Manningham,Architecte systÃ¨mes chez VidÃ©otron,Very nice initiative,0,0,,,,,,339,
Daniel Stadelmann,Trade Republic | St.Gallen (HSG),Christian Sutter,3,1,,,,,,340,
Oliver Siegel,"Finance Partner, Chief Venture Architect",Yes,2,0,,,,,,341,
Edmond Sadowski,Retired,Also the shoe size . I'm fed up lifting foreign products that don't have the size or even a guide. Yes we keep buying more and more of them making other folks rich,0,0,,,,,,342,
Colin A MEngSc CEng,Management and Engineering,and what is the foot print of the label................ ð,1,0,,,,,,343,
Grant Wellwood,Principal at Wellwood Associates,Brilliant-lets me as a consumer cast my vote ($s) for the impact I make and for the kind of future I want!,4,0,,,,,,344,
Guy Varon,VP Business Development and Sustainability | Mobility | Advanced Materials | Innovative Solutions | Partnerships,"Powerful Lubomila Jordanova! I really like the idea. Many products need to be accounted for carbon footprint, not just one shoe / shoemaker. This is the power of scale.",2,0,,,,,,345,
Sierd Heida,Mechanical Engineer at Koninklijke Gazelle,"Guido Van Rijckevorsel bedoelde je deze van de week?
See translation See translation of this comment",0,0,,,,,,346,
MAURO SOBHIE,Electronics Engineer and Linguist,Interesting. A suggestion would be to include some ideas on how the buyer could her/himself act to offset this footprint as planting a tree or something else.,0,0,,,,,,347,
Michael Andrew,Senior Project Manager at Barrows,Jenna Bleloch,0,0,,,,,,348,
Binyamin Koretz,Patent Attorney (IL),"I'm much more interested in country of origin. With ratings for personal freedoms, slavery, and genocide. Not carbon porn for climate addicts.",1,0,,,,,,349,
Alexandra Clayton,Resident Teacher at Nova Pioneer Sustainability Advocate and Educator,Sarah Clayton what we were talking about.,0,0,,,,,,350,
Julian Urdov,Financial Analyst,Plants love carbon dioxide :)https://johnsonco2.com/co2-generators/,0,0,,,,,,351,
Venna Lepel,Carbon Removal | Enabling NetZero | Turning Waste into Valuable Ressources | #carbonremoval #circulareconomy #netzero #future #industry,"That equals the carbon removal of 1kg of biochar. Or the amount to use while planting a small/middle size plant in your backyard, that will then florish and enhance biodiversity",2,0,,,,,,352,
Reinier Huisman,ðWe are hiringð| CEO & Founder Expertwired.com | On a journey to transform how people do research | Have 1:1 video calls with industry experts to get real-time market insights | Disruptive tech enthusiast,"Lubomila Jordanova I agree with the pressing need to save our planet, but donât think that the average consumer would understand one thing about these figures and would expect it to have little impact.",1,0,,,,,,353,
Tony Flint,Managing Director Lextar Pty Ltd,What is this telling us? Does this include the full BOM and material processes?In my mind this is more about manipulating the consumer by providing just part of the story. Green washing the product.Quality and durability are more my thing. Translates to - Product life expectancy v cabon impact. â¦see more,0,0,,,,,,354,
Dayle Guy,Improving sustainability in hospitality and retail with mPOS partners at Epson UK Ltd,"Absolutely Lubomila Jordanova, its a great way to educate and help each other make informed choices. A couple of my colleagues will be interested in this, the eco labelling magician Carlo Garavaglia from Epson Italia and our very own #wimhof of sustainability Henning Ohlsson. Plus the label gurus Adam Samuel Gavin Thurston Graham Anscombe #sustainability #education #doyourbit â¦see more",0,0,,,,,,355,
DoÄuhan BostancÄ±,Undergraduate student,Do private jets have this label on them? Would be more effective...,1,0,,,,,,356,
Michael Wiersma,SEA | Social advertising | Web3 | Evertising | Recruitment marketing,Shoe making +2.16 (by some 9 year old in Bangladesh probably) this doesnât solve anything .,2,0,,,,,,357,
Guy Wennmacher,Professor bei DHBW LÃ¶rrach,Doors wide open for greenwashing and lies. Canât work without international regulation and fines. In principle a very good idea!,2,0,,,,negative,,358,
Verena Peper,Exchange student at Ostschweizer Fachhochschule | Critical Friend Trainer | Junior International Business student at the Hanze University of Applied Sciences |,Amaia LÃ³pez Azcona they are starting to implement new guidelines. Super interesting,0,0,,,,,,359,
Poul Lindqvist,Providing Environmental LCA competence and resourcing - Environmental Impacts Academy,"This is a good start, great that someone sets an example. Sure it is only CO2 but I guess that makes sense to keep it simple.",1,0,,,,,,360,
Nicolas PAYEN,"Passionate about Climate Mitigation, Climate Technologies, and Climate Finance.",Eveline Noya ;-),3,0,,,,,,361,
Emily Cotterill,Head Of Sustainability at ReBOUND Returns,Inge Baars this is brilliant!,1,1,,,,,,362,
Steffi Knell,Operations Manager,Love it! But how would it work?The cost of the trainer from the distributor or from China where it was made?,0,0,,,,,,363,
Samy Felice,Content Executive and UX Writer | Open to a New Role,"Psy-op.
See translation See translation of this comment",0,0,,,,,,364,
Thomas Evans,Rebel/Innovator - Footwear Creative,Along with a durability / lifespan rating it makes sense.,1,0,,,,,,365,
Victor Arnold,"VP and GM, Europe, Middle East, Africa, and C.I.S. at Hitachi and Sullair Air Compressor Group | DBA | MBA |Strategy | Marketing | General Management | Industrial | Construction | O&G | Power Systems","Good point. Even if the numbers are not easy to confirm, the message is that people should not buy and discard with little use.",2,0,,,,,,366,
Trisha Nangia,Early-stage venture capital @ Antler | INSEAD MBA Candidate | ex Vice President BlackRock Sustainability,Joakim Eschricht Frandsen,2,1,,,,,,367,
Paul Janmaat,procesoperator Nouryon,Cmon be serious,1,0,,,,,,368,
Graham Hill,Data-Driven Programme Director,More useless information. I don't think so.,7,0,,,,,,369,
Douglas Grays â¤ï¸'er of Sustainable Merchandise and Print.,Marketing is on the frontline of customer engagement. We help brands MEASURE the sustainability of their marketing materials. Its finally time for clarity on your merchandise and print spend. #sustainable #marketing,Yes thats great. But for the average person on the street. What does any of that mean?? Its just numbers. It has no relatability. They need to find a better way for it to make the person in the shop think. Trouble is if they showed what it meant the consumer may not buy the shoe! Not what a brand would want.,0,0,,,,,,370,
James Hill,Unified Manufacturing,Also on where the item was made and if it was made in a ethical warehouse where children are not used a a liveable wage is paid,1,0,,,,,,371,
Hannah Boose,Building digital businesses,Asia Guerreschi Mateusz Wielopolski,1,1,,,,,,372,
Tanya M.,ðºð¦ circular economy geek,Nice transparency... but why is USE 0 footprint? Have you calculated how much CO2 it will take for all washing cycles on average?,2,0,,,,,,373,
Philip Matthews,Director at BWE Envirotech Ltd,Could not agree more - make people think - some will learn.,0,0,,,,,,374,
"Dr Mihai Neagoe, PhD",Logistics Technology Consultant at Foresion,"This gives the impression of accuracy but most of these numbers are estimates, industry averages, etc. Then there's the question of the emissions considered and those not considered, especially Scope 3 (supply chain), meaning that you often can't compare the footprint of adidas vs nike.",0,0,,,,,,375,
Ryan Robinson,*Fundraising* | Surplus feathers for a new circular economy | Sustainable packaging | Co-founder,Maybe a mini QR code one the receipt or label that you drop into an app to keep track of your 'carbon spend?'.,4,0,,,,,,376,
GastÃ³n Bilder,Legal Counsel I Energy Transition- Impact investor,Agree- thank you very much for sharing + QR code linking this info to permanent blockchain data,2,0,,,,,,377,
Jack Stroeken,Founder CEO Ekomenu,See our âfirst worldwideâ cash receipt with full food print. Ekomenu foodbox / mealkit : https://www.ekomenu.nl/foodprint,10,0,,,,,,378,
Dennis Duffels,"Sales, Marketing & Strategy professional | New Business | Rollenspeler | Spreker | Voorzitter | Bouw & Industrialisatie",Micro nonsense the majority doesn't care/understand. Just arrange it at industry or import level.,1,0,,,,,,379,
Darlene Newman,Digital Transformation and Innovation Executive,"I think itâs a great start, but the average consumer may not understand what this means. I would love to see a QR code added to this, which links to a dynamic site that could visually show the impacted based on various factors, including time and how many pairs sold. Something with a more powerful of a message of impact. â¦see more",0,0,,,,,,380,
Shorouq Z.,Data Scientist at TV4 during the day,"No point in telling people the carbon footprint if they have nothing to compare it to. What's 2.94 to me, a regular shoe consumer? ",2,0,,,,,,381,
Devam Shah,Marketing at B M Paper Packaging,Chinmay Patel,1,1,,,,,,382,
Kathrin Zenzinger,"Digital Marketing Specialist I Passionate about Digital Marketing, Digital Health and Psychology","Such a good idea! Itâs a really good product label to make consumers aware. However, I am wondering as well, if all consumers understand it. It might be good to have an explanation or more details to it accessible through a QR code ð",0,0,,,,,,383,
W. Scott Hoppe,Thought Leader in Time of Use Management and Renewables Integration,"This is great for up to a quarter of the population. But itâs the metric system, lacks context, and hard to compare. Buy the shoes you like.",1,0,,,,,,384,
Rocco Mele,"Retail Area Manager | Omnichannel | Operations | â¶ï¸ I enhance the evolution into digital of retail stores, through working on human potential, operational excellence, promoting an inclusive and sustainable environment.",Sabrina Lorenzoni,1,1,,,,,,385,
Elizabeth Tate,Sustainability | ESG,"In addition to the total, I love how this educates about lifecycle... end of life almost equivalent to packaging.",1,0,,,,,,386,
Nupur Jalan,International tax/ Transfer pricing/ Web3/ Legal/ Finance/ Digital & data economy/ ESG,Maybe for easy understanding of consumers they can start marking the product on scale from A to E like we have in food products for nutritional value.,2,0,,,,,,387,
Lyudmila Todorovska,"Global HYPERAUTOMATION (RPA/Intelligent Automation, Low code and chatbot development) at The HEINEKEN Company/ Inclusion & Diversity Ambassador/ Ex - Introvert",AdÃ©laÃ¯de Cipagauta,1,1,,,,,,388,
Sebastian Tettenborn,Founder bei SIEVE Plastic,"Is there a fixed calculation with values, or does each company calculate itself? It would be important if everyone started from the same basic values.",2,0,,,,,,389,
Thomas McWilliam,Analyst - Carbon Abatement & Green Technologies at Ellis Richmond,Jessica Richmond Lindsay Ellis,0,0,,,,,,390,
Henry Bastian,Lifecycle Evangelist & Silicon Strategy Idealist,I donât know. Are these high numbers? Are they good or bad?,1,0,,,,,,391,
Andrew Chee,Retired Civil Engineer,Read your WhatsApp. Grandpa,0,0,,,,,,392,
Doris Greinert,Vertrieblerin | Unternehmerin | #selbstvorsorgerin | Social Founder | Community Loverð¥°,Anita Merzbacher ð±ð,1,1,,,,,,393,
Michael NIESE,Managing Director WirtschaftsVereinigung Metalle,"Der CO2-FuÃabdruck hat aktuell einen Marktwert von rund 25 ct je Paar. Dass sollte drin sein.
See translation See translation of this comment",1,0,,,,,,394,
Atul Sharma,Founder Alumentica,Sooner than later it would be on most of the products.,0,0,,,,,,395,
Mike Villane,Sales executive,"Carbon foot prints and similar related verbiage may not resonate with many logical, thoughtful persons. Some may feel itâs a progressive process with no actual meaning other than a political statement.",0,0,,,,,,396,
Harmanpreet Singh,PMO / Business Analyst EBA LOM CB - PL bij ABN AMRO Bank N.V.,Stefan StÃ¼bing,1,1,,,,,,397,
Jonas Rothe,digital enabler and trailblazer,I absolutely agree. How cool would it be to see that already in the online shop?,1,0,,,,,,398,
RubÃ©n Campillo,Industrial Designer | Algorithmic Modeler | Prototypes Technician,Why just to present a label with the carbon footprint? Why not adding something else about recycled and recyclable parts? People tools and machines involved? Closeness of the manufacturer? Methods to upcycle the product or how to dispose it? Etc... All of that could be a simple QR,0,0,,,,,,399,
Marie Mejerwall,Advisor | Game Director | Esports veteran | Speaker & Host,"Love this, I've been calling for a single number of environmental impact on consumer goods for years. My hope is that EU could unite on a model and way to calculate things like this. More research is needed but this is a step in the right direction!",0,0,,,,,,400,
Mathew Carr,Publishing at Carrzee.org,It IS coming,1,1,,,,,,401,
Carlos Lopez-Lozano,PhD Candidate at Massey University,Raquel Lozano put the footprint on every kiwifruit,1,0,,,,,,402,
Gavin Barber,"B2B Account Manager with Moto Direct, focussed on an authentic & trustworthy work ethic to deliver great custom service and relationships.","Perhaps also the breakdown of cost, highlighting what the workers get! Itâs not all about carbon footprint",1,0,,,,,,403,
BeChained,NA,This information must be a mandatory for all the products. Lubomila Jordanova,0,0,,,,,,404,
Vipul Patel,Founding and Managing Director at Spaice,"Without the \this is 50% of your daily Carbon allowance' it is pure #greenwash that will condition people to ignore the message and data as a distraction.In the unlikely event that they seriously care, they should perhaps talk to people who understand behavioural psychology before coming up with such a crude tool. â¦see more""",0,0,,,,negative,,405,
GR Vinayak,Industry Research | Consulting | IIT - Chennai | Petrochemicals | Strategic Management | Organizational Psychology |,Great initiative! a bit difficult to apply to all products sooner nevertheless a step forward!,0,0,,,,,,406,
Kirstin Robertson,Senior yoga teacher with the Yoga Alliance Professionals | A simple and accessible approach to yoga.,Patricia Shea this is right up your street xxxx,0,0,,,,,,407,
Rafael Morillo Arrizabalaga,CEO en The Flamingo Shoes,damn waste of time,0,0,,,,,,408,
Isabela Ribeiro da Silva,User Experience Researcher at Emma â The Sleep Company,Jakob Tobias Steffen,2,1,,,,,,409,
Jeffrey Denzel Lie-A-Sak,Specialist informatievoorziening BI at GGNet,Shraddha Ranganathan,1,0,,,,,,410,
Lakshmana Kattula,Smart Analytics & AI | Apps & Infra Modernization | Automation & DevOps | Digital Transformation,"Not perfect, nevertheless a good start for sustainability consciousness and green future!",1,0,,,,,,411,
Anieke Wierenga,"Strategy, Innovation and Sustainability | Food & Agri | Chemistry | Circular Economy| Venture Development",Jack Stroeken,1,1,,,,,,412,
Todd Ellis,Consumer Segment Leader at Adaptive3D - A Desktop Metal Company,Great start to identifying business gaps. But a long way to go in effective communication to educate and offer tangible value to the consumer.,1,0,,,,,,413,
Niek Hoogenhout,Chief Investment Officer and Co-Founder at Software Combined Group Ltd,Every product needs to 100% clean up after itself - if private sector fails then public sector needs to step up.,2,0,,,,,,414,
Rootip,NA,Itâs a good start however not sure if this is user friendly.,0,0,,,,,,415,
Jonathan Brekan,Technical Services Director at Daubert Cromwell,Could someone provide what methods were used to calculate those values?,3,0,,,,,,416,
George Hlavacs,"Human Factor, Research & Development professional","So where is the (over)compensation to make the footprint negative? Did we already recover all the possible empty spaces on Earth with forests? Or we will not even start, because if we compensate our footprint ovrr 150 years we indeed run out of space by being surrounded by too much widlife?",0,0,,,,,,417,
Maikel Fontein,"Marketing Lead Breakfast, Dressings & Snacking at Unilever | Founder PassionFruit ð",Lars Kuijpers,1,0,,,,,,418,
Alexi Ernstoff,Director of Science Strategy & Sustainability Consultant at Quantis,Philipp Meister Angela Adams,1,0,,,,,,419,
Barbara Conti,"Sustainability Solutions Europe, Client Support & Business Development @ Visa",Love this Lubomila Jordanova as more consumers request proof of impact! Hoping to see this spread across solutions and brands.,2,0,,,,,,420,
Angela Buck,EP/CD/Consultant/HOP/Futurist/Innovator/Strategist/Program Lead/Curator/Entrepreneur,"I wish there was some context for amount so consumers could be understand the impact, not just the amount.",4,0,,,,,,421,
Trine M. Nielsen,Group Sustainability & Compliance Manager at Schur International a/s,"These information will be standard within too long, I am sure. And it makes sense.",1,0,,,,,,422,
Daniel Goldscheider,CEO of yes.com,"Yes, ideally based on a universally agreed, global standard.",2,0,,,,,,423,
Kelly Anne Carroll,Trade and Export Development at ACT Government,Paul Yuille,1,1,,,,,,424,
"Yue Cheng, P.Eng.",Leak Detection Research Engineer at TransCanada,"Should add another line, Making of this stupid carbon footprint tag.",0,0,,,,,,425,
Fabian Graf,Co-Founder at Faitron,"By creating another label / sticker, which generates more carbon footprint?Good idea - bad execution.",3,0,,,,,,426,
Julian Summerhayes,Lawyer,"Yes, but what does it mean? So everything gets a label, then what? It's high time we looked at what happened to the tobacco industry and realise our addiction to stuff and energy -- in all forms -- is slowly killing us all (aka The Anthropocene).",0,0,,,,,,427,
Petar Petrov,Business development for startups,"Some more redtape... not bad :D You know it is impossible to make such evaluations on all products on the market, right?",1,0,,,,,,428,
Dariusz Jan Nowak,I act for the development of hemp/cannabis in Poland.,Cool !!! :)))),1,1,,,,,,429,
Laura MaksimoviÄ,Commercialist at Ecotip d.o.o. - Air & Liquid filtration,Is this gonna be on all Addids products or just on that one line of shoes?!,0,0,,,,,,430,
Natalia Edelveys Bottero,Energy Efficiency | Carbon Footprint | Sustainability,"Awesome. It would be great to have this information available on marketplaces, in order to compare similar products.",4,0,,,,,,431,
Tue Johannessen,"Vice President, Business Development Fuel Cells & Energy Storage, Alfa Laval | Business Unit BFE&FHE",Isn't that ironic? A shoe with a low footprint ;-),10,0,,,,,,432,
Cora Olsen,Director of sustainability and regeneration at Better Energy,"This is great, but it should not just be limited to GHG emissions - all negative impacts should be accounted forðð",3,0,,,,,,433,
Karen MÃ¸ller Christensen,Freelance copywriter and digital word-o-mator | +45 20664427,"Lars MÃ¸ller Bengtsen og Maj Britt Jensen - sÃ¥dan kan man ogsÃ¥ gÃ¸re det
See translation See translation of this comment",1,0,,,,,,434,
Eric Santaiti,Sustainability Champion | Operations Improvement | Procurement,"I tend to support mandatory reporting for businesses as a whole and at the product level too, the higher carbon footprints triggering a tax, the funds of which could be used to discount the lower ones. Clearly, standardization is critical.",0,0,,,,,,435,
Endre TimÃ¡r,"Adviseur energietransitie, projectleider, beleidsonderzoek, schrijver/redacteur","Leuk voor nerds, maar maatschappelijk doet dat etiket vermoedelijk niks. Te abstract of oninteressant voor 99% van de consumenten. Die cijfers liever in de boekhouding van de producent, waar ze vervolgens op worden afgerekend door financiers en overheid?
See translation See translation of this comment",0,0,,,,,,436,
Texas Kiiskinen,Business @ Bower â»ï¸,Love this! adidas hmu if u wanna get that packaging co2 footprint down ð,3,0,,,,,,437,
Morten Christensen,Software Developer,"As mentioned in other comments, I don't think consumers will care / know how to interpret it. We need carbon tax, even though it will cripple the economy for a few decades... I don't see another way",0,0,,,,,,438,
Tomas Havlik,ð¨âð» Metamate | Marketer | MiniMBA in marketing | Future CMO,"My new favourite shoes, super light and yet really comfortable!",1,0,,,,,,439,
Sean White,Field Service Engineer at LUMICKS,it looks good but what is the scale of good to bad as i'm not aware. Maybe adding a traffic light system will allow people to easily see if the product is carbon zero,0,0,,,,,,440,
John Mayshak,Green and Inclusive Finance | Green Taxonomy | ESG Reporting & Platforms | Stakeholder Engagement | Data Enablement | Just Energy Transition,"Do you know if this includes scope 3 emissions? Also, the full environmental impact (pollution, water use, etc.) goes way beyond carbon emissions...",0,0,,,,,,441,
Oxana Moustakas,Senior consultant @ EY Belgium- CCASS,Anke Brems Willem van Veen AnaÃ«lle Martini,2,0,,,,,,442,
Laura Bochniak,Sustainability & Policy Analyst | Legal Researcher | Environmental Protection Enthusiast,materials used are missing which have extremely high impact,2,0,,,,,,443,
Tatiana Romanchuk,Licensed REALTORÂ® at Douglas Elliman,Matthew Romanchuk,0,0,,,,,,444,
KC Caver,Inclusion in Tech | Global Impact & Innovation,Huge fan of this ð,0,0,,,,,,445,
Even Fallan,BÃ¦rekraftsrapportering og skatterett (efallan.no),"Vow! Dette er et steg i riktig retning. FÃ¥ beslutningsrelevant ut til forbrukere, sÃ¥ beslutninger ikke tas kun utfra pris, utseende, lÃ¸psfÃ¸lelse mv. Et eksempel pÃ¥ bÃ¦rekraftsregnskap. Slik info bÃ¸r vi ogsÃ¥ fÃ¥ nÃ¥r vi handler mat i butikken. Selv om vi ikke kan vite (utfra dette) i hvilken grad info er pÃ¥litelig, sÃ¥ kan det ordnes. Alternativt kunne de lagt til en QR-kode med link til mer info. Flott eksempel! â¦see more
See translation See translation of this comment",0,0,,,,,,446,
Oscar Lundhede,Business Development Engineer pÃ¥ B&R Sverige,This is a great example of how companies can show value of a âmore expensiveâ product. ð,1,0,,,,,,447,
Arjit Singh,UX Researcher + Designer; Digital Content Publisher at Harry Rosen; E-Commerce,"If not on every product, at least in every product/industrial design curriculum (which honestly could be the start that leads to more people thinking about this). Consumers will have to think, sure, but it's important designers do their part first...and educators even before that.",0,0,,,,,,448,
Sadia Rashid (NEBOSH IGC),"Sustainability, Environment, Health and Safety Professional",Great,0,0,,,,,,449,
Hafiz Muhammad Haider Ali,VP DX Crescent Bahuman | Business Transformation - Smart Factory Enthusiast | Minamalist | Exploring Habitable world,"must be regulated 1st by EU or other bodies, else false claims and misleading numbers will be the only outcome",2,0,,,,,,450,
Catherine Tuckwell - Brand Photographer,"Photographer helping eco-friendly businesses nurture their audience, sustain their brand and conserve their time on social media by creating a collection of custom brand images.","Love this idea. End of Life is such an important part of any productâs design, but not many companies pay attention to it. Should it be the case if EoL gets above a certain threshold, should it even be made in the first place?",0,0,,,,,,451,
Heath Miller,Principal at Shepherd Kaplan LLC,"What about the carbon footprint of the labels, which will likely be single use paper or plastic (the former leading to deforestation and the latter to furthe fossil fuel dependency) and end up in landfills, the ocean, or blowing around in the street like discarded Covid masks?",0,0,,,,,,452,
Michael K.,Global Category Manager at Amazon,As a mathematical reference:41g/hour.1 kg/day.7 kg/week.28 kg/month.364 kg/year.2.7 Trillion kg/year.Just from humans breathing. https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator#results â¦see more,1,0,,,,,,453,
Starglide .,"design for policy, art as policy",And Adidas should be charged a pollution tax proportional to that number. 294 Euro could be a start.,4,0,,,,,,454,
Arjun Agarwal ð,Social Impact Advocate | Co-founder @Inaam | Co-founder @wayf | Podcast Host | Master of Entrepreneurship | Financial Services Professional,"Yes! Totally agree. Need this information as accessible, transparent and credible as possible!",3,0,,,,,,455,
Deepak Sehgal,"Business Professional - Energy/Petroleum Downstream: Refining, Petrochemicals, Ammonia & Urea fertilizer, Aluminum, Steel sectors.",How does one verify such claims ?,0,0,,,,,,456,
